<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.19	00:00:00	1.64878	1.64878	1.64878	1.64878	1	0	313
2024.02.19	00:01:00	1.64872	1.64878	1.64872	1.64878	3	0	299
2024.02.19	00:02:00	1.64876	1.64960	1.64876	1.64956	6	0	130
2024.02.19	00:03:00	1.64956	1.64966	1.64947	1.64947	10	0	131
2024.02.19	00:04:00	1.64948	1.64948	1.64936	1.64938	5	0	135
2024.02.19	00:05:00	1.64931	1.64951	1.64927	1.64951	52	0	115
2024.02.19	00:06:00	1.64953	1.64953	1.64944	1.64949	8	0	96
2024.02.19	00:07:00	1.64950	1.64961	1.64950	1.64961	3	0	94
2024.02.19	00:08:00	1.64960	1.64962	1.64960	1.64960	3	0	94
2024.02.19	00:09:00	1.64960	1.64960	1.64948	1.64948	6	0	94
2024.02.19	00:10:00	1.64950	1.64953	1.64946	1.64948	10	0	93
2024.02.19	00:11:00	1.64947	1.64961	1.64947	1.64960	15	0	93
2024.02.19	00:12:00	1.64960	1.64972	1.64960	1.64972	18	0	93
2024.02.19	00:13:00	1.64969	1.64972	1.64969	1.64971	3	0	93
2024.02.19	00:14:00	1.64973	1.64974	1.64970	1.64971	8	0	93
2024.02.19	00:15:00	1.64972	1.64973	1.64948	1.64951	18	0	82
2024.02.19	00:16:00	1.64951	1.64956	1.64940	1.64941	14	0	83
2024.02.19	00:17:00	1.64941	1.64946	1.64941	1.64946	6	0	82
2024.02.19	00:18:00	1.64946	1.64948	1.64946	1.64948	3	0	78
2024.02.19	00:19:00	1.64949	1.64950	1.64949	1.64950	2	0	70
2024.02.19	00:20:00	1.64950	1.64953	1.64950	1.64953	3	0	66
2024.02.19	00:21:00	1.64953	1.64955	1.64953	1.64955	5	0	61
2024.02.19	00:22:00	1.64955	1.64955	1.64946	1.64947	3	0	59
2024.02.19	00:23:00	1.64948	1.64948	1.64933	1.64934	5	0	66
2024.02.19	00:24:00	1.64929	1.64931	1.64927	1.64927	4	0	72
2024.02.19	00:25:00	1.64928	1.64928	1.64927	1.64927	2	0	64
2024.02.19	00:26:00	1.64927	1.64931	1.64927	1.64931	4	0	65
2024.02.19	00:27:00	1.64931	1.64950	1.64931	1.64949	14	0	55
2024.02.19	00:28:00	1.64948	1.64948	1.64919	1.64925	14	0	71
2024.02.19	00:29:00	1.64924	1.64937	1.64909	1.64933	84	0	87
2024.02.19	00:30:00	1.64942	1.64970	1.64940	1.64958	52	0	91
2024.02.19	00:31:00	1.64961	1.64971	1.64959	1.64967	42	0	92
2024.02.19	00:32:00	1.64967	1.64974	1.64965	1.64972	19	0	92
2024.02.19	00:33:00	1.64974	1.64975	1.64958	1.64958	23	0	93
2024.02.19	00:34:00	1.64961	1.64983	1.64958	1.64959	24	0	93
2024.02.19	00:35:00	1.64959	1.64966	1.64955	1.64958	24	0	93
2024.02.19	00:36:00	1.64964	1.64992	1.64954	1.64992	45	0	62
2024.02.19	00:37:00	1.64990	1.65000	1.64981	1.64988	26	0	54
2024.02.19	00:38:00	1.64988	1.65003	1.64983	1.65003	18	0	57
2024.02.19	00:39:00	1.65006	1.65023	1.64972	1.64994	74	0	93
2024.02.19	00:40:00	1.64995	1.65046	1.64991	1.65041	48	0	42
2024.02.19	00:41:00	1.65039	1.65043	1.65019	1.65034	51	0	44
2024.02.19	00:42:00	1.65023	1.65030	1.65023	1.65025	23	0	61
2024.02.19	00:43:00	1.65024	1.65038	1.65021	1.65030	26	0	53
2024.02.19	00:44:00	1.65031	1.65031	1.65016	1.65017	10	0	57
2024.02.19	00:45:00	1.65017	1.65027	1.65017	1.65021	30	0	64
2024.02.19	00:46:00	1.65021	1.65022	1.65002	1.65008	22	0	92
2024.02.19	00:47:00	1.65009	1.65011	1.65005	1.65007	27	0	94
2024.02.19	00:48:00	1.65008	1.65008	1.65008	1.65008	1	0	98
2024.02.19	00:49:00	1.65007	1.65008	1.65007	1.65008	4	0	98
2024.02.19	00:50:00	1.65005	1.65015	1.64995	1.64995	8	0	83
2024.02.19	00:51:00	1.64971	1.64978	1.64965	1.64974	36	0	98
2024.02.19	00:52:00	1.64971	1.64971	1.64961	1.64968	18	0	98
2024.02.19	00:53:00	1.64964	1.64975	1.64964	1.64973	30	0	97
2024.02.19	00:54:00	1.64972	1.64975	1.64955	1.64968	61	0	87
2024.02.19	00:55:00	1.64970	1.64970	1.64961	1.64963	45	0	98
2024.02.19	00:56:00	1.64970	1.64979	1.64968	1.64973	30	0	98
2024.02.19	00:57:00	1.64970	1.64978	1.64970	1.64974	29	0	98
2024.02.19	00:58:00	1.64976	1.64986	1.64961	1.64982	58	0	98
2024.02.19	00:59:00	1.64981	1.65005	1.64977	1.64989	53	0	89
2024.02.19	01:00:00	1.64981	1.65043	1.64967	1.65010	121	0	18
2024.02.19	01:01:00	1.65010	1.65040	1.65002	1.65011	70	0	18
2024.02.19	01:02:00	1.65014	1.65020	1.65006	1.65020	65	0	17
2024.02.19	01:03:00	1.65020	1.65026	1.65008	1.65016	38	0	15
2024.02.19	01:04:00	1.65016	1.65016	1.64993	1.64999	27	0	21
2024.02.19	01:05:00	1.64998	1.65004	1.64965	1.64965	44	0	18
2024.02.19	01:06:00	1.64964	1.64973	1.64954	1.64956	44	0	22
2024.02.19	01:07:00	1.64956	1.64959	1.64946	1.64956	20	0	24
2024.02.19	01:08:00	1.64956	1.64975	1.64953	1.64975	25	0	23
2024.02.19	01:09:00	1.64974	1.64983	1.64950	1.64952	51	0	21
2024.02.19	01:10:00	1.64954	1.64969	1.64933	1.64962	57	0	20
2024.02.19	01:11:00	1.64962	1.64968	1.64950	1.64957	35	0	24
2024.02.19	01:12:00	1.64954	1.64976	1.64954	1.64963	47	0	19
2024.02.19	01:13:00	1.64963	1.64984	1.64963	1.64974	62	0	21
2024.02.19	01:14:00	1.64976	1.64981	1.64967	1.64973	48	0	22
2024.02.19	01:15:00	1.64974	1.64989	1.64965	1.64987	48	0	18
2024.02.19	01:16:00	1.64986	1.64988	1.64964	1.64969	54	0	21
2024.02.19	01:17:00	1.64969	1.64982	1.64967	1.64976	43	0	20
2024.02.19	01:18:00	1.64977	1.64984	1.64971	1.64983	34	0	18
2024.02.19	01:19:00	1.64983	1.65001	1.64981	1.64995	40	0	22
2024.02.19	01:20:00	1.64995	1.65000	1.64991	1.64993	20	0	19
2024.02.19	01:21:00	1.64993	1.64996	1.64991	1.64996	20	0	19
2024.02.19	01:22:00	1.64995	1.64995	1.64979	1.64982	24	0	21
2024.02.19	01:23:00	1.64983	1.64986	1.64969	1.64973	34	0	21
2024.02.19	01:24:00	1.64971	1.64976	1.64962	1.64970	25	0	21
2024.02.19	01:25:00	1.64966	1.64987	1.64959	1.64980	28	0	18
2024.02.19	01:26:00	1.64980	1.64986	1.64971	1.64971	20	0	15
2024.02.19	01:27:00	1.64969	1.64983	1.64963	1.64978	62	0	18
2024.02.19	01:28:00	1.64978	1.64982	1.64969	1.64978	36	0	19
2024.02.19	01:29:00	1.64977	1.64979	1.64959	1.64960	40	0	13
2024.02.19	01:30:00	1.64961	1.64986	1.64961	1.64971	73	0	18
2024.02.19	01:31:00	1.64971	1.64979	1.64956	1.64975	52	0	18
2024.02.19	01:32:00	1.64974	1.64979	1.64954	1.64966	55	0	18
2024.02.19	01:33:00	1.64964	1.64966	1.64941	1.64943	42	0	19
2024.02.19	01:34:00	1.64943	1.64950	1.64938	1.64949	29	0	16
2024.02.19	01:35:00	1.64949	1.64991	1.64946	1.64975	46	0	13
2024.02.19	01:36:00	1.64975	1.64979	1.64965	1.64976	41	0	19
2024.02.19	01:37:00	1.64973	1.64978	1.64962	1.64968	39	0	19
2024.02.19	01:38:00	1.64970	1.64984	1.64968	1.64976	31	0	15
2024.02.19	01:39:00	1.64976	1.64984	1.64971	1.64984	42	0	19
2024.02.19	01:40:00	1.64984	1.64993	1.64982	1.64987	19	0	21
2024.02.19	01:41:00	1.64985	1.65000	1.64980	1.64994	18	0	19
2024.02.19	01:42:00	1.64994	1.64999	1.64989	1.64999	7	0	22
2024.02.19	01:43:00	1.64999	1.64999	1.64988	1.64996	30	0	20
2024.02.19	01:44:00	1.64992	1.65000	1.64982	1.64990	33	0	21
2024.02.19	01:45:00	1.64990	1.64994	1.64980	1.64983	32	0	20
2024.02.19	01:46:00	1.64983	1.64986	1.64973	1.64980	32	0	22
2024.02.19	01:47:00	1.64980	1.64985	1.64979	1.64984	9	0	22
2024.02.19	01:48:00	1.64982	1.64986	1.64982	1.64984	13	0	20
2024.02.19	01:49:00	1.64984	1.64986	1.64958	1.64974	19	0	13
2024.02.19	01:50:00	1.64974	1.64974	1.64957	1.64958	23	0	20
2024.02.19	01:51:00	1.64956	1.64958	1.64948	1.64950	18	0	16
2024.02.19	01:52:00	1.64949	1.64955	1.64946	1.64947	32	0	14
2024.02.19	01:53:00	1.64947	1.64959	1.64946	1.64956	52	0	15
2024.02.19	01:54:00	1.64956	1.64960	1.64953	1.64959	22	0	17
2024.02.19	01:55:00	1.64960	1.64960	1.64956	1.64958	19	0	20
2024.02.19	01:56:00	1.64958	1.64963	1.64952	1.64953	14	0	19
2024.02.19	01:57:00	1.64953	1.64957	1.64950	1.64952	21	0	19
2024.02.19	01:58:00	1.64952	1.64968	1.64951	1.64967	26	0	13
2024.02.19	01:59:00	1.64967	1.64969	1.64957	1.64960	48	0	17
2024.02.19	02:00:00	1.64960	1.64963	1.64939	1.64942	92	0	14
2024.02.19	02:01:00	1.64942	1.64962	1.64941	1.64960	51	0	18
2024.02.19	02:02:00	1.64962	1.64962	1.64945	1.64945	52	0	15
2024.02.19	02:03:00	1.64945	1.64949	1.64929	1.64934	51	0	16
2024.02.19	02:04:00	1.64934	1.64950	1.64929	1.64950	50	0	17
2024.02.19	02:05:00	1.64949	1.64949	1.64934	1.64940	74	0	17
2024.02.19	02:06:00	1.64941	1.64945	1.64935	1.64935	48	0	17
2024.02.19	02:07:00	1.64934	1.64939	1.64923	1.64928	48	0	18
2024.02.19	02:08:00	1.64928	1.64941	1.64928	1.64933	35	0	17
2024.02.19	02:09:00	1.64932	1.64942	1.64919	1.64919	53	0	17
2024.02.19	02:10:00	1.64920	1.64930	1.64919	1.64925	42	0	13
2024.02.19	02:11:00	1.64923	1.64929	1.64921	1.64923	41	0	16
2024.02.19	02:12:00	1.64922	1.64926	1.64899	1.64899	84	0	17
2024.02.19	02:13:00	1.64901	1.64904	1.64892	1.64897	54	0	16
2024.02.19	02:14:00	1.64898	1.64903	1.64891	1.64894	109	0	18
2024.02.19	02:15:00	1.64893	1.64906	1.64889	1.64897	62	0	19
2024.02.19	02:16:00	1.64898	1.64901	1.64893	1.64896	61	0	19
2024.02.19	02:17:00	1.64896	1.64899	1.64880	1.64898	51	0	15
2024.02.19	02:18:00	1.64898	1.64906	1.64886	1.64887	41	0	15
2024.02.19	02:19:00	1.64887	1.64893	1.64867	1.64878	61	0	15
2024.02.19	02:20:00	1.64878	1.64882	1.64859	1.64863	62	0	14
2024.02.19	02:21:00	1.64862	1.64874	1.64856	1.64870	48	0	16
2024.02.19	02:22:00	1.64871	1.64875	1.64863	1.64873	53	0	15
2024.02.19	02:23:00	1.64871	1.64871	1.64859	1.64868	50	0	14
2024.02.19	02:24:00	1.64868	1.64877	1.64864	1.64864	26	0	19
2024.02.19	02:25:00	1.64863	1.64866	1.64853	1.64860	46	0	18
2024.02.19	02:26:00	1.64860	1.64865	1.64790	1.64799	82	0	16
2024.02.19	02:27:00	1.64799	1.64843	1.64788	1.64815	83	0	13
2024.02.19	02:28:00	1.64807	1.64809	1.64776	1.64781	76	0	15
2024.02.19	02:29:00	1.64779	1.64779	1.64759	1.64778	79	0	16
2024.02.19	02:30:00	1.64774	1.64774	1.64746	1.64756	64	0	13
2024.02.19	02:31:00	1.64756	1.64779	1.64746	1.64758	87	0	17
2024.02.19	02:32:00	1.64758	1.64764	1.64719	1.64729	84	0	13
2024.02.19	02:33:00	1.64729	1.64763	1.64729	1.64760	73	0	17
2024.02.19	02:34:00	1.64760	1.64768	1.64754	1.64765	60	0	16
2024.02.19	02:35:00	1.64766	1.64766	1.64732	1.64739	61	0	16
2024.02.19	02:36:00	1.64740	1.64752	1.64738	1.64752	61	0	17
2024.02.19	02:37:00	1.64751	1.64764	1.64751	1.64764	22	0	17
2024.02.19	02:38:00	1.64758	1.64781	1.64752	1.64779	38	0	16
2024.02.19	02:39:00	1.64778	1.64794	1.64778	1.64793	66	0	16
2024.02.19	02:40:00	1.64792	1.64796	1.64790	1.64795	67	0	16
2024.02.19	02:41:00	1.64794	1.64803	1.64793	1.64802	45	0	13
2024.02.19	02:42:00	1.64802	1.64820	1.64802	1.64803	68	0	15
2024.02.19	02:43:00	1.64802	1.64811	1.64784	1.64789	88	0	17
2024.02.19	02:44:00	1.64789	1.64796	1.64784	1.64784	76	0	15
2024.02.19	02:45:00	1.64786	1.64790	1.64778	1.64790	59	0	14
2024.02.19	02:46:00	1.64791	1.64800	1.64787	1.64799	37	0	17
2024.02.19	02:47:00	1.64799	1.64805	1.64799	1.64799	12	0	17
2024.02.19	02:48:00	1.64799	1.64816	1.64799	1.64816	36	0	15
2024.02.19	02:49:00	1.64816	1.64816	1.64802	1.64812	19	0	16
2024.02.19	02:50:00	1.64812	1.64812	1.64780	1.64780	69	0	15
2024.02.19	02:51:00	1.64781	1.64791	1.64768	1.64783	115	0	13
2024.02.19	02:52:00	1.64782	1.64795	1.64781	1.64795	44	0	16
2024.02.19	02:53:00	1.64793	1.64794	1.64766	1.64784	97	0	13
2024.02.19	02:54:00	1.64783	1.64784	1.64744	1.64749	100	0	13
2024.02.19	02:55:00	1.64746	1.64759	1.64732	1.64759	85	0	13
2024.02.19	02:56:00	1.64767	1.64781	1.64760	1.64779	53	0	16
2024.02.19	02:57:00	1.64779	1.64804	1.64777	1.64799	85	0	13
2024.02.19	02:58:00	1.64799	1.64806	1.64782	1.64791	95	0	15
2024.02.19	02:59:00	1.64790	1.64802	1.64770	1.64799	129	0	13
2024.02.19	03:00:00	1.64795	1.64795	1.64752	1.64776	243	0	14
2024.02.19	03:01:00	1.64776	1.64797	1.64763	1.64771	180	0	15
2024.02.19	03:02:00	1.64770	1.64775	1.64738	1.64752	100	0	17
2024.02.19	03:03:00	1.64753	1.64774	1.64751	1.64769	62	0	16
2024.02.19	03:04:00	1.64769	1.64778	1.64762	1.64769	68	0	15
2024.02.19	03:05:00	1.64769	1.64775	1.64754	1.64756	94	0	15
2024.02.19	03:06:00	1.64758	1.64762	1.64750	1.64751	91	0	14
2024.02.19	03:07:00	1.64751	1.64764	1.64738	1.64739	59	0	15
2024.02.19	03:08:00	1.64739	1.64745	1.64719	1.64729	48	0	14
